Origin,Target,value
S10,S1,0.008691446206316662
S10,S17,0.029474461110742645
S7,S8,0.015915423680197906
S14,S12,0.0026187255593346295
S1,S10,0.006134032545536158
S1,S11,0.02359346715517997
S1,S17,0.008140600746407265
S3,S13,0.0344488748509349
S3,S15,0.030664531869594062
S3,S5,0.018658811359120942
S3,S2,0.040543185806714094
S11,S2,0.025414052404418432
S15,S5,0.041544523188598886
S9,S8,0.0018225609092560068
S5,S7,0.019422738055387797
S5,S12,2.3092074023367594e-4
S6,S7,0.004864806277672886
S6,S11,0.020440801588554672
S6,S13,0.026711785986896983
S4,S8,0.036368665431912535
S2,S14,0.007562949616209687
